area,row,col,x,y
2,1,4,1113.2,990.0
2,1,3,1130.8,990.0
2,1,2,1148.4,990.0
2,1,1,1166.0,990.0
2,2,30,656.0,944.0
2,2,29,673.6,944.0
2,2,28,691.2,944.0
2,2,27,708.8,944.0
2,2,26,726.3,944.0
2,2,25,743.9,944.0
2,2,24,761.5,944.0
2,2,23,779.1,944.0
2,2,22,796.7,944.0
2,2,21,814.3,944.0
2,2,20,831.9,944.0
2,2,19,849.4,944.0
2,2,18,867.0,944.0
2,2,17,884.6,944.0
2,2,16,902.2,944.0
2,2,15,919.8,944.0
2,2,14,937.4,944.0
2,2,13,955.0,944.0
2,2,12,972.6,944.0
2,2,11,990.1,944.0
2,2,10,1007.7,944.0
2,2,9,1025.3,944.0
2,2,8,1042.9,944.0
2,2,7,1060.5,944.0
2,2,6,1078.1,944.0
2,2,5,1095.7,944.0
2,2,4,1113.2,944.0
2,2,3,1130.8,944.0
2,2,2,1148.4,944.0
2,2,1,1166.0,944.0
2,3,30,656.0,921.0
2,3,29,673.6,921.0
2,3,28,691.2,921.0
2,3,27,708.8,921.0
2,3,26,726.3,921.0
2,3,25,743.9,921.0
2,3,24,761.5,921.0
2,3,23,779.1,921.0
2,3,22,796.7,921.0
2,3,21,814.3,921.0
2,3,20,831.9,921.0
2,3,19,849.4,921.0
2,3,18,867.0,921.0
2,3,17,884.6,921.0
2,3,16,902.2,921.0
2,3,15,919.8,921.0
2,3,14,937.4,921.0
2,3,13,955.0,921.0
2,3,12,972.6,921.0
2,3,11,990.1,921.0
2,3,10,1007.7,921.0
2,3,9,1025.3,921.0
2,3,8,1042.9,921.0
2,3,7,1060.5,921.0
2,3,6,1078.1,921.0
2,3,5,1095.7,921.0
2,3,4,1113.2,921.0
2,3,3,1130.8,921.0
2,3,2,1148.4,921.0
2,3,1,1166.0,921.0
2,4,30,656.0,898.0
2,4,29,673.6,898.0
2,4,28,691.2,898.0
2,4,27,708.8,898.0
2,4,26,726.3,898.0
2,4,25,743.9,898.0
2,4,24,761.5,898.0
2,4,23,779.1,898.0
2,4,22,796.7,898.0
2,4,21,814.3,898.0
2,4,20,831.9,898.0
2,4,19,849.4,898.0
2,4,18,867.0,898.0
2,4,17,884.6,898.0
2,4,16,902.2,898.0
2,4,15,919.8,898.0
2,4,14,937.4,898.0
2,4,13,955.0,898.0
2,4,12,972.6,898.0
2,4,11,990.1,898.0
2,4,10,1007.7,898.0
2,4,9,1025.3,898.0
2,4,8,1042.9,898.0
2,4,7,1060.5,898.0
2,4,6,1078.1,898.0
2,4,5,1095.7,898.0
2,4,4,1113.2,898.0
2,4,3,1130.8,898.0
2,4,2,1148.4,898.0
2,4,1,1166.0,898.0
2,5,30,656.0,853.0
2,5,29,673.6,853.0
2,5,28,691.2,853.0
2,5,27,708.8,853.0
2,5,26,726.3,853.0
2,5,25,743.9,853.0
2,5,24,761.5,853.0
2,5,23,779.1,853.0
